fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
72,10kmE467N245,-0.532874659441516,5.203188896179199,3.529595015576324,4,"list(c(336765.0007, 337585.3483, 347538.955, 346718.2434, 336765.0007, 4994165.4601, 5004146.6678, 5003296.3217, 4993315.7486, 4994165.4601))"
73,10kmE467N246,-49.40740554765506,-60.64055252075195,3.718399219131284,4,"list(c(337585.3483, 338406.6958, 348360.6605, 347538.955, 337585.3483, 5004146.6678, 5014127.3112, 5013276.3331, 5003296.3217, 5004146.6678))"
74,10kmE467N247,-25.918594685203104,-32.864036560058594,3.540902679830748,4,"list(c(338406.6958, 339229.0416, 349183.3583, 348360.6605, 338406.6958, 5014127.3112, 5024107.3969, 5023255.7891, 5013276.3331, 5014127.3112))"
79,10kmE468N236,-62.41472342359772,-62.999061584472656,4.898739324928833,5,"list(c(339376.8371, 340188.5295, 350138.3554, 349326.2424, 339376.8371, 4903464.245, 4913450.1646, 4912604.1714, 4902618.89, 4903464.245))"
80,10kmE468N237,-53.21340484006413,-51.17796325683594,4.728952772073922,5,"list(c(340188.5295, 341001.2306, 350951.4712, 350138.3554, 340188.5295, 4913450.1646, 4923435.4644, 4922588.8353, 4912604.1714, 4913450.1646))"
81,10kmE468N238,-34.46411387692664,-37.36318588256836,3.741024413595022,4,"list(c(341001.2306, 341814.9387, 351765.5881, 350951.4712, 341001.2306, 4923435.4644, 4933420.1507, 4932572.8882, 4922588.8353, 4923435.4644))"
82,10kmE468N239,-51.015138102273525,-58.21629524230957,3.702333065164924,4,"list(c(341814.9387, 342629.6522, 352580.7045, 351765.5881, 341814.9387, 4933420.1507, 4943404.2301, 4942556.3365, 4932572.8882, 4933420.1507))"
83,10kmE468N240,-61.63300182124743,-70.41516494750977,3.916115702479339,4,"list(c(342629.6522, 343445.3695, 353396.8186, 352580.7045, 342629.6522, 4943404.2301, 4953387.709, 4952539.1868, 4942556.3365, 4943404.2301))"
84,10kmE468N241,-81.23338468945003,-80.81829071044922,4.0772,4,"list(c(343445.3695, 344262.0889, 354213.929, 353396.8186, 343445.3695, 4953387.709, 4963370.5938, 4962521.4455, 4952539.1868, 4953387.709))"
85,10kmE468N242,-88.1904662466483,-92.94952011108398,4.082866293034428,4,"list(c(344262.0889, 345079.8087, 355032.0339, 354213.929, 344262.0889, 4963370.5938, 4973352.891, 4972503.1189, 4962521.4455, 4963370.5938))"
86,10kmE468N243,-72.73656702115886,-76.70980072021484,4.060544494108086,4,"list(c(345079.8087, 345898.5275, 355851.1318, 355032.0339, 345079.8087, 4973352.891, 4983334.6071, 4982484.2137, 4972503.1189, 4973352.891))"
87,10kmE468N244,7.788065204322609,5.683822631835938,3.312868949232586,4,"list(c(345898.5275, 346718.2434, 356671.221, 355851.1318, 345898.5275, 4983334.6071, 4993315.7486, 4992464.7363, 4982484.2137, 4983334.6071))"
88,10kmE468N245,4.498064940889845,1.21247786283493,2.782945736434109,2,"list(c(346718.2434, 347538.955, 357492.2999, 356671.221, 346718.2434, 4993315.7486, 5003296.3217, 5002444.693, 4992464.7363, 4993315.7486))"
89,10kmE468N246,-8.41153104903424,-11.985461235046387,3.059139784946237,4,"list(c(347538.955, 348360.6605, 358314.3668, 357492.2999, 347538.955, 5003296.3217, 5013276.3331, 5012424.0904, 5002444.693, 5003296.3217))"
90,10kmE468N247,40.5820069593277,39.170963287353516,2.02,1,"list(c(348360.6605, 349183.3583, 359137.4201, 358314.3668, 348360.6605, 5013276.3331, 5023255.7891, 5022402.9349, 5012424.0904, 5013276.3331))"
95,10kmE469N236,-47.136954102658855,-52.48884201049805,4.200351493848857,5,"list(c(349326.2424, 350138.3554, 360087.919, 359275.382, 349326.2424, 4902618.89, 4912604.1714, 4911756.7282, 4901772.067, 4902618.89))"
96,10kmE469N237,-35.65793465836265,-37.33916473388672,3.942083138720224,5,"list(c(350138.3554, 350951.4712, 360901.4529, 360087.919, 350138.3554, 4912604.1714, 4922588.8353, 4921740.7743, 4911756.7282, 4912604.1714))"
97,10kmE469N238,-55.3680249187127,-50.269561767578125,3.958717434869739,4,"list(c(350951.4712, 351765.5881, 361715.9819, 360901.4529, 350951.4712, 4922588.8353, 4932572.8882, 4931724.2118, 4921740.7743, 4922588.8353))"
98,10kmE469N240,-66.72509244488832,-73.24626159667969,3.991431019708655,4,"list(c(352580.7045, 353396.8186, 363348.019, 362531.5045, 352580.7045, 4942556.3365, 4952539.1868, 4951689.287, 4941707.0472, 4942556.3365))"
99,10kmE469N241,-48.897442323076476,-51.39493942260742,3.681743869209809,4,"list(c(353396.8186, 354213.929, 364165.5238, 363348.019, 353396.8186, 4952539.1868, 4962521.4455, 4961670.9375, 4951689.287, 4952539.1868))"
100,10kmE469N242,-31.06453227052745,-27.082542419433594,3.06078431372549,4,"list(c(354213.929, 355032.0339, 364984.0172, 364165.5238, 354213.929, 4962521.4455, 4972503.1189, 4971652.0053, 4961670.9375, 4962521.4455))"
101,10kmE469N243,-50.844009566872636,-64.21993255615234,3.582479508196721,4,"list(c(355032.0339, 355851.1318, 365803.4977, 364984.0172, 355032.0339, 4972503.1189, 4982484.2137, 4981632.4969, 4971652.0053, 4972503.1189))"
102,10kmE469N244,67.67698509797172,76.41509246826172,3.305460750853242,4,"list(c(355851.1318, 356671.221, 366623.9635, 365803.4977, 355851.1318, 4982484.2137, 4992464.7363, 4991612.4186, 4981632.4969, 4982484.2137))"
103,10kmE469N245,-44.66221315939293,-54.98773193359375,3.813124108416548,4,"list(c(356671.221, 357492.2999, 367445.4132, 366623.9635, 356671.221, 4992464.7363, 5002444.693, 5001591.777, 4991612.4186, 4992464.7363))"
104,10kmE469N246,88.42090144784305,90.17540740966797,2.485294117647059,2,"list(c(357492.2999, 358314.3668, 368267.8449, 367445.4132, 357492.2999, 5002444.693, 5012424.0904, 5011570.5784, 5001591.777, 5002444.693))"
109,10kmE470N234,-63.006983663091,-64.1270751953125,4.942857142857143,5,"list(c(357653.3047, 358463.8433, 368412.3139, 367601.336, 357653.3047, 4881800.8736, 4891786.7843, 4890939.0931, 4880953.7893, 4881800.8736))"
110,10kmE470N235,-43.826976960266755,-50.93454360961914,4.058291911432445,5,"list(c(358463.8433, 359275.382, 369224.2858, 368412.3139, 358463.8433, 4891786.7843, 4901772.067, 4900923.7713, 4890939.0931, 4891786.7843))"
111,10kmE470N236,-39.29069211371486,-48.1155891418457,3.67741935483871,4,"list(c(359275.382, 360087.919, 370037.2503, 369224.2858, 359275.382, 4901772.067, 4911756.7282, 4910907.8304, 4900923.7713, 4901772.067))"
112,10kmE470N237,-28.172092552241672,-20.290478706359863,3.230938014262205,4,"list(c(360087.919, 360901.4529, 370851.2056, 370037.2503, 360087.919, 4911756.7282, 4921740.7743, 4920891.2768, 4910907.8304, 4911756.7282))"
113,10kmE470N238,-72.07792371624502,-80.68639373779297,3.939950980392157,4,"list(c(360901.4529, 361715.9819, 371666.1502, 370851.2056, 360901.4529, 4921740.7743, 4931724.2118, 4930874.1171, 4920891.2768, 4921740.7743))"
114,10kmE470N239,-54.2028808944061,-68.79954147338867,3.497680890538033,4,"list(c(361715.9819, 362531.5045, 372482.0824, 371666.1502, 361715.9819, 4931724.2118, 4941707.0472, 4940856.3576, 4930874.1171, 4931724.2118))"
115,10kmE470N240,-65.28483029455509,-74.02530288696289,3.764223722275795,4,"list(c(362531.5045, 363348.019, 373299.0006, 372482.0824, 362531.5045, 4941707.0472, 4951689.287, 4950838.0049, 4940856.3576, 4941707.0472))"
